a52dec 0.8.0-2
scour 0.38.2-3
sddm 0.20.0-2
sddm-kcm 5.27.8-2
sdl2 2.28.4-1
sdl2_image 2.6.3-1
sdl2_ttf 2.20.2-1
sed 4.9-3
semver 7.5.1-1
shaderc 2023.4-2
shadow 4.14.0-4
shared-mime-info 2.3-1
signon-kwallet-extension 23.08.1-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
slang 2.3.3-2
smartmontools 7.4-1
smbclient 4.19.0-1
snapd 2.60.4-1
snappy 1.1.9-2
socat 1.7.4.4-1
sof-firmware 2023.09-1
solid5 5.110.0-1
sonnet5 5.110.0-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-11
spectacle 23.08.1-1
speex 1.2.1-1
speexdsp 1.2.1-1
spicetify-cli 2.23.2-1
spirv-tools 2022.4-1
spotify 1:1.2.20.1210-3
sqlite 3.43.1-1
squashfs-tools 4.6.1-1
srt 1.5.3-1
stalonetray 0.8.5-1
startup-notification 0.12-8
steam 1.0.0.78-2
stow 2.3.1-3
sudo 1.9.14.p3-1
suitesparse 7.2.0-3
svt-av1 1.7.0-1
sxhkd 0.6.2-3
syndication5 5.110.0-1
syntax-highlighting5 5.110.0-1
systemd 254.5-1
systemd-libs 254.5-1
systemd-sysvcompat 254.5-1
systemsettings 5.27.8-2
t1lib 5.1.2-8
taglib 1.13.1-1
talloc 2.4.1-1
tar 1.35-2
tdb 1.4.9-1
tevent 1:0.15.0-1
texinfo 7.0.3-1
texlive-basic 2023.66594-19
texlive-bin 2023.66984-16
texlive-langother 2023.66594-19
thin-provisioning-tools 1.0.6-1
threadweaver5 5.110.0-1
thunar 4.18.7-2
tinyxml 2.6.2-10
tokei 12.1.2-1
tpm2-tss 4.0.1-1
tracker3 3.6.0-1
trayer 1.1.8-3
tree-sitter 0.20.10-2
tslib 1.22-1
ttf-cascadia-code 2111.01-1
ttf-cascadia-code-nerd 3.0.2-1
ttf-font-awesome 6.4.2-1
ttf-hack 3.003-6
ttf-liberation 2.1.5-1
ttf-myrica 2.012.20180119-1
ttf-sazanami 20040629-11
tzdata 2023c-2
udisks2 2.10.1-2
unibilium 2.1.1-1
unrar 1:6.2.12-1
unzip 6.0-20
upower 1.90.2-1
usbmuxd 1.1.1-3
usbutils 015-3
util-linux 2.39.2-1
util-linux-libs 2.39.2-1
v4l-utils 1.24.1-2
vencord-installer-bin 1.3.1-1
vid.stab 1.1.1-1
visual-studio-code-bin 1.82.0-1
vlc 3.0.18-17
vmaf 2.3.1-1
volume_key 0.3.12-8
vulkan-headers 1:1.3.264-2
vulkan-icd-loader 1.3.263-1
vulkan-tools 1.3.263-1
w3m 0.5.3.git20230121_1-1
w3m-imgcat 0.1-2
wayland 1.22.0-1
wayland-protocols 1.32-1
wayland-utils 1.2.0-1
webkit2gtk 2.42.1-1
webkit2gtk-4.1 2.42.1-1
webp-pixbuf-loader 0.2.5-1
webrtc-audio-processing 0.3.1-4
wget 1.21.4-1
which 2.21-6
wiki-tui 0.8.2-1
wireless_tools 30.pre9-3
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.5-1
xdg-desktop-portal 1.18.0-2
xdg-desktop-portal-kde 5.27.8-4
xdg-user-dirs 0.18-1
xdg-utils 1.1.3+45+g301a1a4-1
xf86-input-libinput 1.4.0-1
xf86-video-amdgpu 23.0.0-1
xf86-video-vesa 2.6.0-1
xfconf 4.18.1-2
xfsprogs 6.4.0-1
xkeyboard-config 2.39-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.4.1-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.0.7-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.8-2
xorg-server-common 21.1.8-2
xorg-server-devel 21.1.8-2
xorg-server-xephyr 21.1.8-2
xorg-server-xnest 21.1.8-2
xorg-server-xvfb 21.1.8-2
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-util-macros 1.20.0-2
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.5-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmessage 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 23.2.1-1
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xorgproto 2023.2-1
xplr 0.21.3-1
xvidcore 1.3.7-2
xz 5.4.4-1
yaml-cpp 0.8.0-1
yarn 1.22.19-1
yay 12.1.2-1
zenity 3.44.2-1
zeromq 4.3.4-4
zimg 3.0.5-1
zlib 1:1.3-1
zscroll-git 2.0.1.r3.gabee462-1
zstd 1.5.5-1
zxing-cpp 2.1.0-1
zziplib 0.13.72-2
